id,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,Q2a1,Q2a2,RQ2A2,Q11A$01,ÃÑ¾×1ÀÎTOT,Q7,Q7_01,Q7_02,D_MON,D_MON_season,D_NAT,D_NAT_GROUP,D_SEX,D_AGE
821,2,13,2,1,1,1,2,,,,,,,,,,,,,,,17,17,2,1,,1,,,,,,,,,,,,,,,,120,121,14,,8234.65,4,1,0,1,4,2,1,2,5
824,2,13,1,4,1,1,,,,,,,,,,,,,,,,17,1,17,,,,1,,,,,,,1,,,,,,,,40,41,12,,4053.6,5,1,1,1,4,11,2,1,3
825,2,3,2,1,1,1,2,3,,,,,,,,,,,,,,,1,2,3,,1,,,,,,,,,,,,,,,,59,60,12,,6280,3,0,0,1,4,2,1,2,5
832,2,3,4,2,1,,2,3,4,,6,,,,,,,,,,,,4,2,6,,,,,,,,,,1,,,1,,,,,59,60,12,1,4053.6,5,1,1,1,4,11,2,1,1
862,2,3,1,2,1,1,2,3,,,,,,,,11,12,,,,,,1,2,11,1,,,,,,,,,,,,,,,,,89,90,13,1,7850,3,0,0,1,4,2,1,2,3
872,2,2,1,3,1,1,2,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,119,120,14,,8635,3,0,0,1,4,2,1,2,4
890,2,13,3,1,1,1,2,3,,,,,,,,,,,,,,,2,1,3,1,1,,1,,,,,,,,,,,,,,149,150,14,,7850,4,1,0,1,4,2,1,1,4
951,2,13,,,1,,,,,,,,,,,,,,,,,17,17,,,,1,,,,,,,,,,,,,,,,17,18,11,,1500,5,1,1,1,4,9,3,2,2
959,2,13,,,1,1,,3,,,,,,,,,,,,,,17,17,3,1,1,1,,1,,,,,,,,,,,,,,180,181,14,,4117.33,5,1,1,1,4,17,1,2,5
1001,2,13,3,7,1,,2,3,4,5,6,,,,,,,,,,,,3,4,6,1,,,1,,,,,,,,,,,,,,36,37,12,1,3600,5,1,1,1,4,9,3,1,3
1133,2,13,,,1,1,2,3,,,,,,,,,,,,,,,1,3,2,1,1,,,,,,,,,,,,,,,,20,21,11,1,3000,5,1,1,1,4,9,3,1,3
1143,2,13,,,1,1,2,3,4,5,,,,,,,,,,,,,4,3,2,,,,,,,,,,,1,,,,,,1,179,180,14,1,4940.79,5,1,1,1,4,97,4,2,5
1157,2,13,,,1,,,,,,,,,,,,,,,,,17,17,,,,1,,,,,,,,,,,,,,,,7,8,3,,3000,5,1,1,1,4,9,3,1,4
1159,1,13,12,,1,1,2,3,4,5,6,,,,,,,,,,,,1,2,6,1,,,1,,,,,,,,,,,,,,90,91,14,1,10219.5,5,1,1,1,4,13,2,2,2
1161,2,13,10,9,1,,2,,,,,,,,,,,,,,,17,17,2,,,,,,,,,,,,,,,,1,,,30,31,12,,5000,3,0,0,1,4,9,3,2,3
1162,2,13,,,1,1,2,,4,,,,,,,,,,,,,,2,1,4,1,,,,,,,,,,,,,,,,,45,46,12,,4542,5,1,1,1,4,13,2,2,4
1175,2,13,,,1,1,2,3,4,,,,,,,11,,,,,,,4,3,11,1,1,,,,,,,,,,,,,,,,100,101,14,,2838.75,5,1,1,1,4,13,2,1,3
1190,1,1,4,7,1,1,,,4,,6,,,,,,,,,,,,4,1,6,1,,,,,,,,,,1,,1,,1,,,30,31,12,1,4000,5,1,1,1,4,97,4,2,2
1193,2,2,1,5,1,1,2,3,4,,6,,,,,,12,,,,,,2,12,1,1,,,1,,,,,,,,,,,,,,59,60,12,1,6083.7,5,1,1,1,4,1,1,2,3
1197,1,4,10,9,1,1,2,3,4,5,6,,,,,,,,,,,,3,4,5,1,1,,1,,,,,,,,,,,,,,21,22,11,1,2271,5,1,1,1,4,13,2,1,3
1206,1,6,1,10,1,1,2,,,5,,7,,,,,,,,,,,7,5,2,1,1,,,,,,,,,,,,,,,,29,30,11,1,6756,5,1,1,1,4,97,4,2,3
1208,1,6,2,4,1,1,2,,,5,,,,9,,,,,,,,,9,5,1,1,1,,,,,,,,,,,,,,,,29,30,11,1,6756,5,1,1,1,4,97,4,2,3
1233,2,13,1,,1,1,2,,,,,,,,,,,,,,,17,17,1,2,,,,,,,,,1,,1,,,,,,,35,36,12,,5000,5,1,1,1,4,8,4,2,4
1269,2,13,,,1,,,,,,,,,,,,,,,,,17,17,,,,1,,,,,,,,,,,,,,,,30,31,12,,215.75,5,1,1,1,4,12,2,1,3
1278,2,13,2,3,1,,2,3,,,,,,,,,,,,,,17,17,2,3,1,,,,,,,,,,,,,,,,,9,10,3,,2592.45,5,1,1,1,4,4,1,1,2
1283,1,1,4,7,1,1,2,,4,,,,,,,,,,,,,,1,4,2,1,,,,,,,,,,,,,,,,,9,10,3,,2962.8,5,1,1,1,4,4,1,1,3
1284,1,1,3,2,1,1,2,3,,,,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,1,,,,,6,7,2,1,1481.4,4,1,0,1,4,4,1,1,2
1285,1,1,2,7,1,1,2,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,9,10,3,,2592.45,5,1,1,1,4,4,1,1,2
1286,1,1,5,7,1,1,2,,4,,,,,,,11,12,,,,,,11,1,2,1,,,,,,,,,,,,,,,,,7,8,3,,1851.75,5,1,1,1,4,4,1,2,2
1293,1,2,4,7,1,,2,3,,,6,,,,,,,,,,,,6,2,3,1,,,,,,,,1,,1,,,,,,,31,32,12,,2222.1,5,1,1,1,4,4,1,2,2
1299,1,3,9,1,1,1,2,3,4,,6,,,,,,,13,,,,,1,2,3,1,,1,,,,,,,,1,,1,1,,1,,20,21,11,1,3703.5,5,1,1,1,4,4,1,2,2
1300,2,13,,,1,1,2,3,,,,,,,,,,,,,,,2,1,3,,1,,,,,,,,,,,,,,,,15,16,11,,823.47,4,1,0,1,4,4,1,2,6
1307,1,9,1,3,1,1,,3,4,,6,,8,,,11,,13,,,,,13,1,3,1,,,1,,,,,,,,,1,,,,,13,14,11,1,2962.8,4,1,0,1,4,4,1,1,3
1308,1,7,1,9,1,1,,3,,,,,,,,,,13,,,,,13,1,3,1,,,1,,,,,,,,,1,,,,,14,15,11,1,2222.1,4,1,0,1,4,4,1,2,3
1310,1,1,3,2,1,,2,3,4,,6,,,,10,11,,,,,,,3,4,11,1,,,1,,,,,1,,,,,,,,,11,12,11,1,888.84,5,1,1,1,4,4,1,1,3
1311,1,3,4,10,1,1,2,3,4,5,,,,,,,,,,,,,3,2,1,1,,,1,,,,,,1,,,,,,,,12,13,11,1,2592.45,5,1,1,1,4,7,1,1,3
1340,2,12,,,1,1,,,,,,,,,,,12,,,,,,1,,,1,,,,,,,,,,,,,,,,,59,60,12,,31400,5,1,1,1,4,2,1,2,3
1349,2,13,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,59,60,12,,1570,5,1,1,1,4,2,1,2,6
1384,2,13,3,4,1,1,2,3,4,5,6,,,,,,12,,,,,17,17,5,2,1,,,1,,,,,,,,,,,,,,59,60,12,,2271,3,0,0,1,4,13,2,2,3
1399,2,13,1,4,1,1,2,3,4,5,6,,,,,11,,13,,,,,13,2,3,1,1,,1,,,,,,,,1,1,1,,,1,84,85,13,1,5677.5,5,1,1,1,4,97,4,2,2
1421,2,13,,,1,1,2,3,,,,,,,,,,,,,,,3,1,2,,,,,1,,,,,,,,,,,,,18,19,11,,5000,5,1,1,1,4,9,3,1,6
1452,1,11,10,,1,1,,3,,,,,,,,,,13,,,,,13,3,1,1,,,1,,,,,,,,,,,,,,7,8,3,1,1111.05,5,1,1,1,4,4,1,1,3
1466,2,10,4,3,1,,2,3,,5,6,,,,,,12,,,,,,5,6,12,,1,,,,,,,,,,,,,,,1,34,35,12,1,2364.6,5,1,1,1,4,11,2,2,6
1480,1,4,3,,1,,2,3,4,,6,,,,,11,,13,,,,,13,3,11,1,1,,1,,,,,1,1,,,1,,1,1,1,69,70,13,1,4655.55,4,1,0,1,4,97,4,1,2
1482,2,1,10,5,1,1,2,3,4,,,,,,,11,,,,,,,11,2,4,1,,,,,,,,,,1,,1,1,,,,34,35,12,1,4000,5,1,1,1,4,9,3,2,3
1499,1,2,9,1,1,1,2,3,,5,,,,,,11,,13,,,,,2,13,11,1,,,1,,,,,,,,,,,,,,6,7,2,1,11110.5,5,1,1,1,4,4,1,1,4
1500,1,2,1,5,1,1,2,3,,5,,,,,,11,,13,,,,,2,1,13,1,,,1,,,,,,,,,,,,,,6,7,2,1,7407,5,1,1,1,4,4,1,2,4
1530,2,13,,,1,,2,3,4,5,,,,,,,,13,,,,,13,5,3,,1,1,1,,,,,1,1,,,1,,,,,59,60,12,,4000,4,1,0,1,4,9,3,2,6
1548,2,13,,,1,1,2,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,29,30,11,,4500,5,1,1,1,4,9,3,2,1
1552,2,13,1,3,1,1,2,,,,,,,,,,,,,,,17,17,2,1,1,,,1,,,1,,,,,,,,,,,41,42,12,,4000,5,1,1,1,4,9,3,2,4
1555,2,13,,,1,,,,4,5,6,,,,,,,,,,,,5,4,6,1,,,1,,,,,,,,,,,,,,44,45,12,1,2000,5,1,1,1,4,9,3,1,3
1565,2,13,,,1,1,2,3,4,5,6,,,,,,12,13,,,,,1,13,4,1,,1,1,1,1,1,1,,,,,,,,,,41,42,12,,4000,5,1,1,1,4,9,3,1,5
1566,2,13,,,1,,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,30,31,12,,5000,5,1,1,1,4,9,3,2,4
1567,2,13,,,1,1,2,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,29,30,11,,3000,5,1,1,1,4,9,3,1,5
1603,2,13,1,2,1,1,2,3,,,,,,,,,12,,,,,17,17,1,2,,,,,,,,,,,,1,,,,,,150,151,14,,2000,5,1,1,1,4,97,4,2,2
1662,1,8,,,1,,2,,,,,,,,,,12,,,,,,12,2,,1,,,,,,,,,,,,,,,,,17,18,11,1,844.2,5,1,1,1,4,14,2,2,3
1686,2,13,,,1,,2,,,,6,,,,,11,12,,,,,,11,2,12,1,,,,,,,,,,,,,,,,,29,30,11,,10000,4,1,0,1,4,9,3,2,2
1690,2,13,,,1,,2,3,4,5,6,,,,,,,,,,,,4,5,6,1,,,,,,,,,,,,,,,,,39,40,12,1,7000,5,1,1,1,4,9,3,1,2
1701,2,1,3,2,1,,2,3,,,,,,,,11,,,,,,,11,3,2,1,,,,,,,,,,,,,,,,,74,75,13,,1500,4,1,0,1,4,97,4,1,2
1712,1,4,13,,1,,,3,4,5,6,,,,,,,,,,,,4,3,6,1,,,,,,,,,,,,,,,,1,88,89,13,1,24703.95,5,1,1,1,4,97,4,2,2
1765,1,5,4,2,1,1,2,3,4,5,6,,,,,,,,,,,,2,6,3,1,,,,,,,,,,,,,,,,,24,25,11,1,1250,5,1,1,1,4,9,3,1,2
1766,1,1,3,2,1,1,2,3,4,5,6,,,,,,,,,,,,2,3,1,1,,,,,,,,,,,,,,,,,25,26,11,1,2000,5,1,1,1,4,9,3,2,3
1799,2,4,1,7,1,1,2,3,4,5,6,,,,,,,13,,,,,3,13,1,1,,,,,,,,,1,,,,,,,,38,39,12,1,6000,5,1,1,1,4,9,3,1,3
1800,2,7,4,3,1,1,2,3,4,,6,,,,10,,,,,,,,4,10,3,1,1,,,,,,,,,,,,,,,,179,180,14,1,6000,5,1,1,1,4,9,3,1,1
1812,1,2,1,,1,1,2,3,,,,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,17,18,11,1,3703.5,5,1,1,1,4,4,1,1,3
1840,1,6,,,1,1,,,,,,7,,9,,,,,,,,,7,9,1,1,,,,,,,,,,,,,,,,,4,5,2,1,4444.2,5,1,1,1,4,4,1,2,5
1841,2,1,,,1,,2,3,,,,,,,,,,,,,,17,17,3,2,1,1,,1,,,,,,1,,1,1,,,,,190,191,14,,41173.25,5,1,1,1,4,8,4,2,4
1847,2,13,6,,1,,2,3,,,,,,,,,,,,,,17,17,2,3,,,,,,,,,,,,,,1,,,,180,181,14,,988.16,5,1,1,1,4,19,1,1,5
1851,2,13,2,3,1,1,2,3,,,6,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,29,30,11,1,7948.5,5,1,1,1,4,97,4,2,3
1852,1,1,5,2,1,1,2,3,,,6,,,,,11,,,,,,,1,2,11,1,,,,,,,,,,,,,,,,,9,10,3,,3703.5,5,1,1,1,4,4,1,2,2
1862,1,2,1,3,1,,2,3,,5,,,,,,,,,,,,,2,3,5,1,,,,,,,,,,,,,,,,,9,10,3,1,1481.4,5,1,1,1,4,4,1,2,2
1874,1,1,2,3,1,1,2,3,4,5,6,,,,,,,,,,,,1,2,3,1,,,,,,,,,,,,,,,,,7,8,3,1,2222.1,5,1,1,1,4,4,1,2,3
1876,1,4,6,10,1,,,,,5,6,,8,,,,,,,,,,5,6,8,1,,,,,,,,,,,,,,,,,70,71,13,1,24703.95,4,1,0,1,4,8,4,2,2
1883,1,1,4,3,1,1,,,4,,6,,,,,,,,,,,,1,4,6,1,1,,,,,,,,,,,,,,,,7,8,3,1,2222.1,4,1,0,1,4,4,1,1,3
1900,1,5,3,1,1,1,2,3,,,,,,,,,,,,,,,2,3,1,1,,,,,,,,,,,,,,,,,55,56,12,,3703.5,5,1,1,1,4,5,1,2,2
1906,1,1,2,5,1,,2,,,,,,,,,,12,,,,,,2,12,,1,,,,,,,,,,,,,,,,,55,56,12,,2592.45,4,1,0,1,4,4,1,2,2
1923,1,1,3,7,1,,2,3,4,,,,,,,,,,,,,,3,4,2,1,,,,,,,,,,,,,,,,1,49,50,12,1,1851.75,5,1,1,1,4,4,1,2,2
1948,2,1,9,12,1,1,2,3,4,5,6,,8,9,,11,12,13,,,,,13,11,1,1,,,1,,,,,,,,,,,,,,44,45,12,1,5800,5,1,1,1,4,8,4,2,1
1958,2,1,2,4,1,1,2,3,4,,6,,,9,,,12,13,,,,,1,2,12,1,,1,1,,,,,,,,,,,,,,44,45,12,1,5800,5,1,1,1,4,8,4,2,5
1959,2,13,,,1,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,11,12,11,,4000,5,1,1,1,4,9,3,1,4
1960,2,2,1,4,1,1,2,3,4,,,,,,,11,,13,,,,,1,3,11,1,,1,1,,,,,,,,,,,,,,44,45,12,1,5800,5,1,1,1,4,8,4,1,4
1975,2,13,,,1,1,,3,,,,,,,,,,,,,,17,17,3,1,,1,,,,,,,,,,,,,,,,100,101,14,,5000,5,1,1,1,4,10,3,2,6
1989,2,2,1,4,1,,2,3,4,,6,,,,,,,13,,,,,13,2,4,1,1,,,,,,,,,,,,,,,,100,101,14,1,8516.25,5,1,1,1,4,97,4,2,2
1992,2,10,1,3,1,1,2,3,4,5,6,,,,,,,,,,,,3,1,4,1,,1,,,,,,,1,,,1,,,,1,89,90,13,1,5677.5,5,1,1,1,4,13,2,1,2
2118,2,9,,,1,1,2,3,,,,,,,,,,,,,,,2,1,3,1,,1,,,,,,,,,,,,,,,20,21,11,,1111.05,4,1,0,1,4,4,1,2,3
2124,2,1,3,2,1,1,2,3,4,5,,,,,,,12,,,,,,3,4,2,1,,,,,,,,,,,,,,,,,14,15,11,1,2592.45,5,1,1,1,4,4,1,2,2
2150,1,3,4,2,1,1,2,3,,,,,,,,,,,,,,,2,1,3,1,,,,,,,,,,,,,,,,,4,5,2,1,1851.75,5,1,1,1,4,4,1,2,4
2157,2,13,2,1,1,,2,,,,,,,,,,,,,,,17,17,2,,,,,,,,1,,,,,,,,,,1,7,8,3,1,2058.66,5,1,1,1,4,18,1,2,3
2163,2,13,,,1,,2,3,4,,,,,,,,,,,,,,4,3,2,1,,,,,,,,,,,,,,,,,45,46,12,,3000,5,1,1,1,4,9,3,1,3
2164,1,9,5,2,1,,2,3,,,,,,,,,12,,,,,,3,2,12,1,,1,,,,,,,,,,1,1,,,,12,13,11,1,3703.5,5,1,1,1,4,4,1,2,2
2168,1,1,3,2,1,1,2,3,,5,,,,,,,12,,,,,,2,1,3,1,,1,,,,,,,,,,1,1,,,,12,13,11,1,4444.2,5,1,1,1,4,4,1,2,2
2178,1,11,4,5,1,,2,3,4,,6,,,,,,,,,,,,6,4,3,1,,,,,,,,,,,,1,,,,,20,21,11,1,3703.5,5,1,1,1,4,4,1,2,2
2183,1,1,3,4,1,1,2,3,,5,,,,,,,,,,,,,3,5,2,1,,,,,,,,,,,,,,,,,6,7,2,1,5925.6,4,1,0,1,4,4,1,2,2
2186,2,3,2,1,1,1,2,3,4,,,,,,,,,,,,,,3,2,1,1,,,,,,1,,,,,,,,,,1,29,30,11,,1646.93,5,1,1,1,4,7,1,1,2
2205,2,13,1,3,1,,2,3,,,,,,,,,,13,,,,,3,13,2,1,,,,,,,,,,,,,,,,1,20,21,11,1,823.47,4,1,0,1,4,12,2,1,3
2207,1,1,3,2,1,1,2,3,,,,,8,,,,,,,,,,3,8,1,1,,1,,,,,,,,,,1,1,,,,12,13,11,1,3703.5,5,1,1,1,4,4,1,2,2
2211,2,3,2,4,1,,2,3,4,,,,,,,,,,,,,,2,3,4,,,,,,,,,,,,,1,,,,,20,21,11,,3000,4,1,0,1,4,14,2,1,3
2213,2,13,8,3,1,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,49,50,12,,1646.93,5,1,1,1,4,14,2,1,3
2216,2,3,,,1,1,2,3,,,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,1,,,,,39,40,12,,2000,5,1,1,1,4,14,2,1,6
2217,2,1,2,,1,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,1,,,,,59,60,12,,2000,3,0,0,1,4,14,2,1,6
2218,2,13,,,1,1,2,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,119,120,14,,4000,4,1,0,1,4,14,2,2,4
2219,2,13,,,1,1,2,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,119,120,14,,3000,5,1,1,1,4,14,2,2,4
2223,2,13,,,1,1,2,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,89,90,13,,2000,5,1,1,1,4,14,2,2,4
2247,2,3,2,1,1,1,2,3,4,,,,,,,,,,,,,,1,2,3,1,,,,,,,,,,,,,,,,1,179,180,14,1,2616.67,5,1,1,1,4,2,1,1,3
2256,2,3,2,1,1,1,2,3,4,,,,,,,,,,,,,,1,2,3,1,,,,,,,,,,,,,,,,1,179,180,14,1,2616.67,5,1,1,1,4,2,1,2,2
2276,2,13,,,1,,,,,,,,,,,,,,,,,17,17,,,,1,,,,,,,,,,,,,,,,59,60,12,,1971.25,5,1,1,1,4,10,3,1,3
2284,2,2,1,,1,1,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,,,329,330,14,,6000,5,1,1,1,4,14,2,2,3
2319,2,13,1,2,1,1,2,,,,,,,,,,,,,,,17,17,2,1,1,1,,,,,,,,,,,,,,,,23,24,11,,7000,4,1,0,1,4,9,3,2,3
2320,2,2,1,,1,,2,3,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,1,,,,,,59,60,12,,1646.93,5,1,1,1,4,15,1,2,5
2393,2,13,10,,1,,2,3,,,,,,,,,12,,,,,,3,2,12,1,1,1,1,,,,,,,,,,,,,,60,61,13,,2333.33,5,1,1,1,4,9,3,2,4
2499,2,1,2,,1,1,2,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,29,30,11,,5764.26,5,1,1,1,4,19,1,2,3
2508,2,13,,,1,,2,3,4,5,,,,,,,,,,,,,4,5,3,1,1,,,,,1,,,,,,,,,,,45,46,12,,5000,5,1,1,1,4,9,3,2,2
2661,2,13,,,1,1,2,3,4,5,,,,,,,,,,,,,2,3,1,,,,,,,1,,,,,,,,,,,90,91,14,,1540,5,1,1,1,4,19,1,2,5
2710,1,4,3,1,1,1,,3,4,5,6,,,,10,,,,,,,,6,1,10,1,1,,,,,,,,1,,1,1,,,,,89,90,13,1,8107.2,5,1,1,1,4,11,2,1,6
2763,2,3,4,2,1,1,2,3,4,,,,,,,,,13,,,,,3,4,13,1,1,,1,,,,,,,,,,,,,,41,42,12,1,4000,5,1,1,1,4,9,3,1,3
2764,2,2,,,1,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,209,210,14,,12351.98,4,1,0,1,4,2,1,1,4
2781,2,10,1,3,1,,,3,4,5,6,,,9,10,11,,13,,,,,13,4,5,,1,,,,,,,,,,,,,,,,59,60,12,,4314.9,5,1,1,1,4,97,4,1,2
2826,1,2,1,,1,1,2,,,,,,,,,,,,,,,,1,2,,1,1,,,,,,,,,,1,,,,1,,20,21,11,1,2470.4,5,1,1,1,4,97,4,1,3
2846,2,13,1,5,1,1,2,,,,,,,,,,,,,,,,1,2,,1,1,,,,,,,,,,,,,,,,20,21,11,,6000,5,1,1,1,4,9,3,1,4
2892,2,13,1,,1,1,2,3,,,,,,,,,12,,,,,,1,2,3,1,,,1,,,,,,,,,1,1,,,1,30,31,12,1,3122.63,5,1,1,1,4,13,2,2,5
2916,2,10,13,,1,1,2,3,4,5,6,7,,,,11,12,13,,,,,12,13,2,1,1,,1,,,1,,,,,1,1,1,,1,1,40,41,12,1,3860.7,5,1,1,1,4,12,2,2,2
2981,2,13,,,1,1,2,3,4,,6,,,,,,,,,,,,1,4,3,1,,,1,,,,,1,,1,,1,,,,,129,130,14,1,3000,5,1,1,2,4,9,3,1,3
3004,1,2,1,10,1,,2,,,,,,8,,,,,,,,,,2,8,,,1,,,,,,,,,,,,,,,,60,61,13,,6527.58,5,1,1,2,4,15,1,2,2
3015,1,2,3,5,1,,2,3,4,,,,,,,,,,,,,,2,3,4,1,,,,,,,,,,,,,,,,,7,8,3,1,4000,5,1,1,2,4,4,1,2,2
3024,2,2,1,,1,1,2,,,,,,,,,,,,,,,,2,1,,,1,1,,,,,,,,,,,,,,,120,121,14,,4079.74,4,1,0,2,4,2,1,2,4
3036,2,13,,,1,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,29,30,11,,2820.25,5,1,1,2,4,13,2,1,3
